Year,Period,Trade Flow,Reporter,Reporter ISO,Partner,Customs,Mode of Transport,Commodity Code,Commodity,Trade_value,CIF Trade Value (US$),FOB Trade Value (US$)
2015,2015,M,Estonia,EST,World,All CPCs,All MOTs,TOTAL,All Commodities,15731849158 ,15731849158,
2017,2017,M,Ethiopia,ETH,World,All CPCs,All MOTs,TOTAL,All Commodities,15758882146 ,15758882147,
2018,2018,M,Angola,AGO,World,All CPCs,All MOTs,TOTAL,All Commodities,16036479575 ,16036479575,
2017,2017,M,Latvia,LVA,World,All CPCs,All MOTs,TOTAL,All Commodities,16053149440 ,16053149440,
2015,2015,M,Kenya,KEN,World,All CPCs,All MOTs,TOTAL,All Commodities,16058041798 ,16058041799,
2019,2019,M,Costa Rica,CRI,World,All CPCs,All MOTs,TOTAL,All Commodities,16106274382 ,16106274382,
2016,2016,M,Ecuador,ECU,World,All CPCs,All MOTs,TOTAL,All Commodities,16188692759 ,16188692759,
2017,2017,M,Costa Rica,CRI,World,All CPCs,All MOTs,TOTAL,All Commodities,16352350364 ,16352350364,
2015,2015,M,Bahrain,BHR,World,All CPCs,All MOTs,TOTAL,All Commodities,16389939722 ,16389939723,
2018,2018,M,Costa Rica,CRI,World,All CPCs,All MOTs,TOTAL,All Commodities,16563019255 ,16563019256,
2017,2017,M,Kenya,KEN,World,All CPCs,All MOTs,TOTAL,All Commodities,16690197046 ,16690197047,
2015,2015,M,Myanmar,MMR,World,All CPCs,All MOTs,TOTAL,All Commodities,16913265487 ,16913265488,
2016,2016,M,Guatemala,GTM,World,All CPCs,All MOTs,TOTAL,All Commodities,16978677827 ,16978677827,
2020,2020,M,Latvia,LVA,World,All CPCs,All MOTs,TOTAL,All Commodities,17200863605 ,17200863606,0
2019,2019,M,Kenya,KEN,World,All CPCs,All MOTs,TOTAL,All Commodities,17210001018 ,17210001018,
2018,2018,M,Uzbekistan,UZB,World,All CPCs,All MOTs,TOTAL,All Commodities,17313951650 ,17313951651,
2015,2015,M,Dominican Rep.,DOM,World,All CPCs,All MOTs,TOTAL,All Commodities,17347815271 ,17347815271,
2017,2017,M,Estonia,EST,World,All CPCs,All MOTs,TOTAL,All Commodities,17372913325 ,17372913326,
2018,2018,M,Kenya,KEN,World,All CPCs,All MOTs,TOTAL,All Commodities,17376721272 ,17376721272,
2017,2017,M,Bahrain,BHR,World,All CPCs,All MOTs,TOTAL,All Commodities,17390888016 ,17390888017,
2016,2016,M,Ethiopia,ETH,World,All CPCs,All MOTs,TOTAL,All Commodities,17451145266 ,17451145266,
2018,2018,M,Cambodia,KHM,World,All CPCs,All MOTs,TOTAL,All Commodities,17489096677 ,17489096677,
2015,2015,M,Guatemala,GTM,World,All CPCs,All MOTs,TOTAL,All Commodities,17637088553 ,17637088553,
2015,2015,M,Ethiopia,ETH,World,All CPCs,All MOTs,TOTAL,All Commodities,17685578211 ,17685578212,
2020,2020,M,Estonia,EST,World,All CPCs,All MOTs,TOTAL,All Commodities,17751673513 ,17751673513,0
2019,2019,M,Latvia,LVA,World,All CPCs,All MOTs,TOTAL,All Commodities,17767574788 ,17767574789,
2016,2016,M,Dominican Rep.,DOM,World,All CPCs,All MOTs,TOTAL,All Commodities,17788807960 ,17788807960,
2020,2020,M,Guatemala,GTM,World,All CPCs,All MOTs,TOTAL,All Commodities,18197563571 ,18197563571,0
2015,2015,M,Serbia,SRB,World,All CPCs,All MOTs,TOTAL,All Commodities,18210171281 ,18210171281,
2017,2017,M,Guatemala,GTM,World,All CPCs,All MOTs,TOTAL,All Commodities,18377914375 ,18377914375,
2019,2019,M,Myanmar,MMR,World,All CPCs,All MOTs,TOTAL,All Commodities,18577866972 ,18577866973,
2015,2015,M,Lebanon,LBN,World,All CPCs,All MOTs,TOTAL,All Commodities,18599766657 ,18599766658,
2018,2018,M,Latvia,LVA,World,All CPCs,All MOTs,TOTAL,All Commodities,18612965523 ,18612965523,
2019,2019,M,Estonia,EST,World,All CPCs,All MOTs,TOTAL,All Commodities,18664163270 ,18664163270,
2016,2016,M,Lebanon,LBN,World,All CPCs,All MOTs,TOTAL,All Commodities,18702745744 ,18702745744,
2015,2015,M,Sri Lanka,LKA,World,All CPCs,All MOTs,TOTAL,All Commodities,18967230642 ,18967230642,
2016,2016,M,Luxembourg,LUX,World,All CPCs,All MOTs,TOTAL,All Commodities,19123618193 ,19123618193,
2016,2016,M,Jordan,JOR,World,All CPCs,All MOTs,TOTAL,All Commodities,19207038414 ,19207038414,
2016,2016,M,Serbia,SRB,World,All CPCs,All MOTs,TOTAL,All Commodities,19230912776 ,19230912776,
2017,2017,M,Myanmar,MMR,World,All CPCs,All MOTs,TOTAL,All Commodities,19253455102 ,19253455103,
2015,2015,M,Luxembourg,LUX,World,All CPCs,All MOTs,TOTAL,All Commodities,19296337662 ,19296337662,
2019,2019,M,Jordan,JOR,World,All CPCs,All MOTs,TOTAL,All Commodities,19336708718 ,19336708718,
2018,2018,M,Myanmar,MMR,World,All CPCs,All MOTs,TOTAL,All Commodities,19353892913 ,19353892913,0
2016,2016,M,Tunisia,TUN,World,All CPCs,All MOTs,TOTAL,All Commodities,19487207662 ,19487207662,
2016,2016,M,Sri Lanka,LKA,World,All CPCs,All MOTs,TOTAL,All Commodities,19500757049 ,19500757049,
2017,2017,M,Dominican Rep.,DOM,World,All CPCs,All MOTs,TOTAL,All Commodities,19524253471 ,19524253471,18085918949
2017,2017,M,Lebanon,LBN,World,All CPCs,All MOTs,TOTAL,All Commodities,19586709383 ,19586709383,
2018,2018,M,Guatemala,GTM,World,All CPCs,All MOTs,TOTAL,All Commodities,19643972138 ,19643972138,
2018,2018,M,Estonia,EST,World,All CPCs,All MOTs,TOTAL,All Commodities,19826320836 ,19826320837,
2017,2017,M,Ecuador,ECU,World,All CPCs,All MOTs,TOTAL,All Commodities,19844243617 ,19844243618,18876532279
2019,2019,M,Guatemala,GTM,World,All CPCs,All MOTs,TOTAL,All Commodities,19870650527 ,19870650527,
2018,2018,M,Lebanon,LBN,World,All CPCs,All MOTs,TOTAL,All Commodities,19982944051 ,19982944051,
2020,2020,M,Uzbekistan,UZB,World,All CPCs,All MOTs,TOTAL,All Commodities,20020135797 ,20020135798,
2015,2015,M,Tunisia,TUN,World,All CPCs,All MOTs,TOTAL,All Commodities,20222503107 ,20222503107,
2019,2019,M,Ecuador,ECU,World,All CPCs,All MOTs,TOTAL,All Commodities,20277091794 ,20277091794,
2019,2019,M,Cambodia,KHM,World,All CPCs,All MOTs,TOTAL,All Commodities,20278818286 ,20278818286,
2018,2018,M,Jordan,JOR,World,All CPCs,All MOTs,TOTAL,All Commodities,20309900969 ,20309900969,
2017,2017,M,Jordan,JOR,World,All CPCs,All MOTs,TOTAL,All Commodities,20407329339 ,20407329340,
2015,2015,M,Jordan,JOR,World,All CPCs,All MOTs,TOTAL,All Commodities,20474908862 ,20474908862,
2015,2015,M,Croatia,HRV,World,All CPCs,All MOTs,TOTAL,All Commodities,20580470841 ,20580470841,
2018,2018,M,Bahrain,BHR,World,All CPCs,All MOTs,TOTAL,All Commodities,20597535923 ,20597535924,
2020,2020,M,Luxembourg,LUX,World,All CPCs,All MOTs,TOTAL,All Commodities,20609617814 ,20609617814,20262531968
2017,2017,M,Tunisia,TUN,World,All CPCs,All MOTs,TOTAL,All Commodities,20618072727 ,20618072728,
